# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.5500,-6.6700,0.7382,0.7382
-2.6000,-6.6200,0.7159,0.7159
-2.6500,-6.5700,0.6946,0.6946
-2.6500,-6.5200,0.7106,0.7106
-2.7000,-6.4700,0.6946,0.6946
-2.7000,-6.4200,0.6946,0.6946
-2.7500,-6.3700,0.6801,0.6801
-2.7500,-6.3200,0.6946,0.6946
-2.8000,-6.2700,0.6519,0.6519
-2.8000,-6.2200,0.6576,0.6576
-2.8500,-6.1700,0.6185,0.6185
-2.8500,-6.1200,0.6325,0.6325
-2.8500,-6.0700,0.6500,0.6500
-2.9000,-6.0200,0.6021,0.6021
-2.9000,-5.9700,0.6083,0.6083
-2.9000,-5.9200,0.6185,0.6185
-2.9000,-5.8700,0.6325,0.6325
-2.9000,-5.8200,0.6325,0.6325
-2.9000,-5.7700,0.6185,0.6185
-2.9000,-5.7200,0.6083,0.6083
-2.9000,-5.6700,0.6021,0.6021
-2.9000,-5.6200,0.6000,0.6000
-2.9500,-5.5700,0.6000,0.6000
-2.9500,-5.5200,0.6000,0.6000
-2.9500,-5.4700,0.6000,0.6000
-2.9500,-5.4200,0.6000,0.6000
-2.9000,-5.3700,0.6000,0.6000
-2.9000,-5.3200,0.6000,0.6000
-2.9000,-5.2700,0.6000,0.6000
-2.9000,-5.2200,0.6021,0.6021
-2.9000,-5.1700,0.6083,0.6083
-2.9000,-5.1200,0.6185,0.6185
-2.9000,-5.0700,0.6185,0.6185
-2.9000,-5.0200,0.6083,0.6083
-2.9000,-4.9700,0.6021,0.6021
-2.9000,-4.9200,0.6000,0.6000
-2.8500,-4.8700,0.6500,0.6500
-2.8000,-4.8200,0.6708,0.6708
-2.8000,-4.7700,0.6519,0.6519
-2.7500,-4.7200,0.6708,0.6708
-2.7000,-4.6700,0.6708,0.6708
-2.6500,-4.6200,0.6519,0.6519
-2.6500,-4.5700,0.6519,0.6519
-2.6000,-4.5200,0.6708,0.6708
-2.5500,-4.4700,0.6727,0.6727
-2.5000,-4.4200,0.6727,0.6727
-2.5000,-4.3700,0.6708,0.6708
-2.4500,-4.3200,0.6801,0.6801
-2.4000,-4.2700,0.6946,0.6946
-2.3500,-4.2200,0.6946,0.6946
-2.3500,-4.1700,0.6801,0.6801
-2.3000,-4.1200,0.6946,0.6946
-2.2500,-4.0700,0.7071,0.7071
-2.2000,-4.0200,0.7071,0.7071
-2.2000,-3.9700,0.7106,0.7106
-2.1500,-3.9200,0.7211,0.7211
-2.1000,-3.8700,0.7382,0.7382
-2.0500,-3.8200,0.7500,0.7500
-2.0000,-3.7700,0.7632,0.7632
-1.9500,-3.7200,0.7778,0.7778
-1.9000,-3.6700,0.7778,0.7778
-1.9000,-3.6200,0.7810,0.7810
-1.8500,-3.5700,0.7906,0.7906
-1.8000,-3.5200,0.7826,0.7826
-1.8000,-3.4700,0.7826,0.7826
-1.7500,-3.4200,0.7762,0.7762
-1.7500,-3.3700,0.7810,0.7810
-1.7000,-3.3200,0.7616,0.7616
-1.7000,-3.2700,0.7632,0.7632
-1.6500,-3.2200,0.7433,0.7433
-1.6500,-3.1700,0.7616,0.7616
-1.6000,-3.1200,0.7382,0.7382
-1.6000,-3.0700,0.7500,0.7500
-1.5500,-3.0200,0.7280,0.7280
-1.5500,-2.9700,0.7382,0.7382
-1.5000,-2.9200,0.7018,0.7018
-1.5000,-2.8700,0.7071,0.7071
-1.4500,-2.8200,0.6671,0.6671
-1.4500,-2.7700,0.6801,0.6801
-1.4000,-2.7200,0.6500,0.6500
-1.4000,-2.6700,0.6500,0.6500
-1.4000,-2.6200,0.6500,0.6500
-1.4000,-2.5700,0.6500,0.6500
-1.3500,-2.5200,0.6000,0.6000
-1.3500,-2.4700,0.6021,0.6021
-1.3000,-2.4200,0.5590,0.5590
-1.3000,-2.3700,0.5701,0.5701
-1.3000,-2.3200,0.5852,0.5852
-1.3000,-2.2700,0.6021,0.6021
-1.3000,-2.2200,0.5831,0.5831
-1.2500,-2.1700,0.5701,0.5701
-1.2000,-2.1200,0.5385,0.5385
-1.2000,-2.0700,0.5523,0.5523
-1.2000,-2.0200,0.5590,0.5590
-1.2000,-1.9700,0.5385,0.5385
-1.2000,-1.9200,0.5220,0.5220
-1.2000,-1.8700,0.5099,0.5099
-1.2000,-1.8200,0.5025,0.5025
-1.2000,-1.7700,0.5000,0.5000
-1.1500,-1.7200,0.5500,0.5500
-1.1500,-1.6700,0.5500,0.5500
-1.1500,-1.6200,0.5500,0.5500
-1.1500,-1.5700,0.5500,0.5500
-1.1500,-1.5200,0.5500,0.5500
-1.1500,-1.4700,0.5500,0.5500
-1.1500,-1.4200,0.5500,0.5500
-1.1500,-1.3700,0.5500,0.5500
-1.1500,-1.3200,0.5500,0.5500
-1.1500,-1.2700,0.5500,0.5500
-1.1500,-1.2200,0.5500,0.5500
-1.1500,-1.1700,0.5523,0.5523
-1.1500,-1.1200,0.5590,0.5590
-1.1500,-1.0700,0.5701,0.5701
-1.1500,-1.0200,0.5852,0.5852
-1.1500,-0.9700,0.6000,0.6000
-1.1500,-0.9200,0.6000,0.6000
-1.1500,-0.8700,0.6000,0.6000
-1.2000,-0.8200,0.5701,0.5701
-1.2000,-0.7700,0.5852,0.5852
-1.2000,-0.7200,0.6042,0.6042
-1.2000,-0.6700,0.5852,0.5852
-1.2500,-0.6200,0.5852,0.5852
-1.2500,-0.5700,0.6042,0.6042
-1.2500,-0.5200,0.6021,0.6021
-1.2500,-0.4700,0.5852,0.5852
-1.3000,-0.4200,0.6042,0.6042
-1.3000,-0.3700,0.6083,0.6083
-1.3000,-0.3200,0.6021,0.6021
-1.3500,-0.2700,0.6185,0.6185
-1.3500,-0.2200,0.6185,0.6185
-1.4000,-0.1700,0.6042,0.6042
-1.4000,-0.1200,0.6265,0.6265
-1.4500,-0.0700,0.6042,0.6042
-1.4500,-0.0200,0.6185,0.6185
-1.5000,0.0300,0.5852,0.5852
-1.5000,0.0800,0.6042,0.6042
-1.5500,0.1300,0.5831,0.5831
-1.5500,0.1800,0.6042,0.6042
-1.6000,0.2300,0.5701,0.5701
-1.6000,0.2800,0.5852,0.5852
-1.6500,0.3300,0.5590,0.5590
-1.6500,0.3800,0.5831,0.5831
-1.6500,0.4300,0.5831,0.5831
-1.7000,0.4800,0.5701,0.5701
-1.7000,0.5300,0.5831,0.5831
-1.7500,0.5800,0.5590,0.5590
-1.7500,0.6300,0.5831,0.5831
-1.7500,0.6800,0.5701,0.5701
-1.8000,0.7300,0.5701,0.5701
-1.8000,0.7800,0.5831,0.5831
-1.8500,0.8300,0.5590,0.5590
-1.8500,0.8800,0.5701,0.5701
-1.8500,0.9300,0.5701,0.5701
-1.9000,0.9800,0.5590,0.5590
-1.9000,1.0300,0.5701,0.5701
-1.9500,1.0800,0.5385,0.5385
-1.9500,1.1300,0.5590,0.5590
-1.9500,1.1800,0.5590,0.5590
-2.0000,1.2300,0.5590,0.5590
-2.0000,1.2800,0.5701,0.5701
-2.0500,1.3300,0.5590,0.5590
-2.0500,1.3800,0.5831,0.5831
-2.1000,1.4300,0.5590,0.5590
-2.1000,1.4800,0.5831,0.5831
-2.1500,1.5300,0.5701,0.5701
-2.1500,1.5800,0.5831,0.5831
-2.2000,1.6300,0.5590,0.5590
-2.2000,1.6800,0.5701,0.5701
-2.2000,1.7300,0.5701,0.5701
-2.2500,1.7800,0.5590,0.5590
-2.2500,1.8300,0.5831,0.5831
-2.2500,1.8800,0.6000,0.6000
-2.2500,1.9300,0.5852,0.5852
-2.2500,1.9800,0.5701,0.5701
-2.3000,2.0300,0.6042,0.6042
-2.3000,2.0800,0.6021,0.6021
-2.3000,2.1300,0.6000,0.6000
-2.3000,2.1800,0.6000,0.6000
-2.3500,2.2300,0.6265,0.6265
-2.3500,2.2800,0.6185,0.6185
-2.3500,2.3300,0.6083,0.6083
-2.4000,2.3800,0.6325,0.6325
-2.4000,2.4300,0.6500,0.6500
-2.4000,2.4800,0.6325,0.6325
-2.4000,2.5300,0.6185,0.6185
-2.4000,2.5800,0.6083,0.6083
-2.4500,2.6300,0.6519,0.6519
-2.4500,2.6800,0.6500,0.6500
-2.4500,2.7300,0.6500,0.6500
-2.5000,2.7800,0.6946,0.6946
-2.5000,2.8300,0.6801,0.6801
-2.5000,2.8800,0.6671,0.6671
-2.5000,2.9300,0.6576,0.6576
-2.5000,2.9800,0.6519,0.6519
-2.5000,3.0300,0.6500,0.6500
-2.5500,3.0800,0.7000,0.7000
-2.5500,3.1300,0.7000,0.7000
-2.5500,3.1800,0.7000,0.7000
-2.5500,3.2300,0.7000,0.7000
-2.6000,3.2800,0.7159,0.7159
-2.6000,3.3300,0.7280,0.7280
-2.6000,3.3800,0.7280,0.7280
-2.6000,3.4300,0.7159,0.7159
-2.6000,3.4800,0.7071,0.7071
-2.6000,3.5300,0.7018,0.7018
-2.6000,3.5800,0.7000,0.7000
-2.6000,3.6300,0.7000,0.7000
